case_id,query_id,query_name,site,reference_type,method,y_true,y_pred
20,1,心停止+ECMO,tohoku,doctor,GPT-OSS-20B,0,0
21,1,心停止+ECMO,tohoku,doctor,GPT-OSS-20B,0,0
22,1,心停止+ECMO,tohoku,doctor,GPT-OSS-20B,0,1
23,1,心停止+ECMO,tohoku,doctor,GPT-OSS-20B,0,0
24,1,心停止+ECMO,tohoku,doctor,GPT-OSS-20B,0,0
25,1,心停止+ECMO,tohoku,doctor,GPT-OSS-20B,0,0
26,1,心停止+ECMO,tohoku,doctor,GPT-OSS-20B,0,0
27,1,心停止+ECMO,tohoku,doctor,GPT-OSS-20B,1,1
28,1,心停止+ECMO,tohoku,doctor,GPT-OSS-20B,1,1
29,1,心停止+ECMO,tohoku,doctor,GPT-OSS-20B,0,0
30,1,心停止+ECMO,tohoku,doctor,GPT-OSS-20B,0,1
1,1,心停止+ECMO,tohoku,doctor,CALM3-22B,0,1
2,1,心停止+ECMO,tohoku,doctor,CALM3-22B,0,0
3,1,心停止+ECMO,tohoku,doctor,CALM3-22B,0,0
4,1,心停止+ECMO,tohoku,doctor,CALM3-22B,1,1
5,1,心停止+ECMO,tohoku,doctor,CALM3-22B,0,1
6,1,心停止+ECMO,tohoku,doctor,CALM3-22B,0,0
7,1,心停止+ECMO,tohoku,doctor,CALM3-22B,0,1
8,1,心停止+ECMO,tohoku,doctor,CALM3-22B,1,0
9,1,心停止+ECMO,tohoku,doctor,CALM3-22B,0,1
10,1,心停止+ECMO,tohoku,doctor,CALM3-22B,0,0
11,1,心停止+ECMO,tohoku,doctor,CALM3-22B,0,1
12,1,心停止+ECMO,tohoku,doctor,CALM3-22B,0,0
13,1,心停止+ECMO,tohoku,doctor,CALM3-22B,0,0
14,1,心停止+ECMO,tohoku,doctor,CALM3-22B,0,0
15,1,心停止+ECMO,tohoku,doctor,CALM3-22B,0,0
16,1,心停止+ECMO,tohoku,doctor,CALM3-22B,0,1
17,1,心停止+ECMO,tohoku,doctor,CALM3-22B,1,0
18,1,心停止+ECMO,tohoku,doctor,CALM3-22B,0,0
19,1,心停止+ECMO,tohoku,doctor,CALM3-22B,0,1
20,1,心停止+ECMO,tohoku,doctor,CALM3-22B,0,0
21,1,心停止+ECMO,tohoku,doctor,CALM3-22B,0,0
22,1,心停止+ECMO,tohoku,doctor,CALM3-22B,0,0
23,1,心停止+ECMO,tohoku,doctor,CALM3-22B,0,1
24,1,心停止+ECMO,tohoku,doctor,CALM3-22B,0,0
25,1,心停止+ECMO,tohoku,doctor,CALM3-22B,0,0
26,1,心停止+ECMO,tohoku,doctor,CALM3-22B,0,0
27,1,心停止+ECMO,tohoku,doctor,CALM3-22B,1,0
28,1,心停止+ECMO,tohoku,doctor,CALM3-22B,1,0
29,1,心停止+ECMO,tohoku,doctor,CALM3-22B,0,1
30,1,心停止+ECMO,tohoku,doctor,CALM3-22B,0,1
1,1,心停止+ECMO,tohoku,doctor,DeepSeek-32B,0,1
2,1,心停止+ECMO,tohoku,doctor,DeepSeek-32B,0,0
3,1,心停止+ECMO,tohoku,doctor,DeepSeek-32B,0,0
4,1,心停止+ECMO,tohoku,doctor,DeepSeek-32B,1,0
5,1,心停止+ECMO,tohoku,doctor,DeepSeek-32B,0,1
6,1,心停止+ECMO,tohoku,doctor,DeepSeek-32B,0,0
7,1,心停止+ECMO,tohoku,doctor,DeepSeek-32B,0,0
8,1,心停止+ECMO,tohoku,doctor,DeepSeek-32B,1,0
9,1,心停止+ECMO,tohoku,doctor,DeepSeek-32B,0,0
10,1,心停止+ECMO,tohoku,doctor,DeepSeek-32B,0,1
11,1,心停止+ECMO,tohoku,doctor,DeepSeek-32B,0,0
12,1,心停止+ECMO,tohoku,doctor,DeepSeek-32B,0,0
13,1,心停止+ECMO,tohoku,doctor,DeepSeek-32B,0,1
14,1,心停止+ECMO,tohoku,doctor,DeepSeek-32B,0,0
15,1,心停止+ECMO,tohoku,doctor,DeepSeek-32B,0,0
16,1,心停止+ECMO,tohoku,doctor,DeepSeek-32B,0,0
17,1,心停止+ECMO,tohoku,doctor,DeepSeek-32B,1,0
18,1,心停止+ECMO,tohoku,doctor,DeepSeek-32B,0,0
19,1,心停止+ECMO,tohoku,doctor,DeepSeek-32B,0,0
20,1,心停止+ECMO,tohoku,doctor,DeepSeek-32B,0,1
21,1,心停止+ECMO,tohoku,doctor,DeepSeek-32B,0,1
22,1,心停止+ECMO,tohoku,doctor,DeepSeek-32B,0,0
23,1,心停止+ECMO,tohoku,doctor,DeepSeek-32B,0,0
24,1,心停止+ECMO,tohoku,doctor,DeepSeek-32B,0,0
25,1,心停止+ECMO,tohoku,doctor,DeepSeek-32B,0,0
26,1,心停止+ECMO,tohoku,doctor,DeepSeek-32B,0,0
27,1,心停止+ECMO,tohoku,doctor,DeepSeek-32B,1,0
28,1,心停止+ECMO,tohoku,doctor,DeepSeek-32B,1,1
29,1,心停止+ECMO,tohoku,doctor,DeepSeek-32B,0,0
30,1,心停止+ECMO,tohoku,doctor,DeepSeek-32B,0,1
1,1,心停止+ECMO,tohoku,doctor,DeepSeek-70B,0,0
2,1,心停止+ECMO,tohoku,doctor,DeepSeek-70B,0,0
3,1,心停止+ECMO,tohoku,doctor,DeepSeek-70B,0,1
4,1,心停止+ECMO,tohoku,doctor,DeepSeek-70B,1,0
5,1,心停止+ECMO,tohoku,doctor,DeepSeek-70B,0,1
6,1,心停止+ECMO,tohoku,doctor,DeepSeek-70B,0,0
7,1,心停止+ECMO,tohoku,doctor,DeepSeek-70B,0,0
8,1,心停止+ECMO,tohoku,doctor,DeepSeek-70B,1,0
9,1,心停止+ECMO,tohoku,doctor,DeepSeek-70B,0,0
10,1,心停止+ECMO,tohoku,doctor,DeepSeek-70B,0,0
11,1,心停止+ECMO,tohoku,doctor,DeepSeek-70B,0,0
12,1,心停止+ECMO,tohoku,doctor,DeepSeek-70B,0,0
13,1,心停止+ECMO,tohoku,doctor,DeepSeek-70B,0,1
14,1,心停止+ECMO,tohoku,doctor,DeepSeek-70B,0,0
15,1,心停止+ECMO,tohoku,doctor,DeepSeek-70B,0,1
16,1,心停止+ECMO,tohoku,doctor,DeepSeek-70B,0,0
17,1,心停止+ECMO,tohoku,doctor,DeepSeek-70B,1,1
18,1,心停止+ECMO,tohoku,doctor,DeepSeek-70B,0,0
19,1,心停止+ECMO,tohoku,doctor,DeepSeek-70B,0,0
20,1,心停止+ECMO,tohoku,doctor,DeepSeek-70B,0,0
21,1,心停止+ECMO,tohoku,doctor,DeepSeek-70B,0,0
22,1,心停止+ECMO,tohoku,doctor,DeepSeek-70B,0,1
23,1,心停止+ECMO,tohoku,doctor,DeepSeek-70B,0,0
24,1,心停止+ECMO,tohoku,doctor,DeepSeek-70B,0,1
25,1,心停止+ECMO,tohoku,doctor,DeepSeek-70B,0,1
26,1,心停止+ECMO,tohoku,doctor,DeepSeek-70B,0,0
27,1,心停止+ECMO,tohoku,doctor,DeepSeek-70B,1,0
28,1,心停止+ECMO,tohoku,doctor,DeepSeek-70B,1,1
29,1,心停止+ECMO,tohoku,doctor,DeepSeek-70B,0,0
30,1,心停止+ECMO,tohoku,doctor,DeepSeek-70B,0,1
1,1,心停止+ECMO,tohoku,doctor,Llama-3.1-Swallow-70B,0,1
2,1,心停止+ECMO,tohoku,doctor,Llama-3.1-Swallow-70B,0,0
3,1,心停止+ECMO,tohoku,doctor,Llama-3.1-Swallow-70B,0,0
4,1,心停止+ECMO,tohoku,doctor,Llama-3.1-Swallow-70B,1,1
5,1,心停止+ECMO,tohoku,doctor,Llama-3.1-Swallow-70B,0,1
6,1,心停止+ECMO,tohoku,doctor,Llama-3.1-Swallow-70B,0,0
7,1,心停止+ECMO,tohoku,doctor,Llama-3.1-Swallow-70B,0,0
8,1,心停止+ECMO,tohoku,doctor,Llama-3.1-Swallow-70B,1,1
9,1,心停止+ECMO,tohoku,doctor,Llama-3.1-Swallow-70B,0,0
10,1,心停止+ECMO,tohoku,doctor,Llama-3.1-Swallow-70B,0,0
11,1,心停止+ECMO,tohoku,doctor,Llama-3.1-Swallow-70B,0,1
12,1,心停止+ECMO,tohoku,doctor,Llama-3.1-Swallow-70B,0,0
13,1,心停止+ECMO,tohoku,doctor,Llama-3.1-Swallow-70B,0,0
14,1,心停止+ECMO,tohoku,doctor,Llama-3.1-Swallow-70B,0,0
15,1,心停止+ECMO,tohoku,doctor,Llama-3.1-Swallow-70B,0,1
16,1,心停止+ECMO,tohoku,doctor,Llama-3.1-Swallow-70B,0,1
17,1,心停止+ECMO,tohoku,doctor,Llama-3.1-Swallow-70B,1,1
18,1,心停止+ECMO,tohoku,doctor,Llama-3.1-Swallow-70B,0,0
19,1,心停止+ECMO,tohoku,doctor,Llama-3.1-Swallow-70B,0,0
20,1,心停止+ECMO,tohoku,doctor,Llama-3.1-Swallow-70B,0,0
21,1,心停止+ECMO,tohoku,doctor,Llama-3.1-Swallow-70B,0,1
22,1,心停止+ECMO,tohoku,doctor,Llama-3.1-Swallow-70B,0,0
23,1,心停止+ECMO,tohoku,doctor,Llama-3.1-Swallow-70B,0,0
24,1,心停止+ECMO,tohoku,doctor,Llama-3.1-Swallow-70B,0,1
25,1,心停止+ECMO,tohoku,doctor,Llama-3.1-Swallow-70B,0,0
26,1,心停止+ECMO,tohoku,doctor,Llama-3.1-Swallow-70B,0,0
27,1,心停止+ECMO,tohoku,doctor,Llama-3.1-Swallow-70B,1,1
28,1,心停止+ECMO,tohoku,doctor,Llama-3.1-Swallow-70B,1,1
29,1,心停止+ECMO,tohoku,doctor,Llama-3.1-Swallow-70B,0,0
30,1,心停止+ECMO,tohoku,doctor,Llama-3.1-Swallow-70B,0,0
1,1,心停止+ECMO,tohoku,doctor,MedLLM-72B,0,0
2,1,心停止+ECMO,tohoku,doctor,MedLLM-72B,0,0
3,1,心停止+ECMO,tohoku,doctor,MedLLM-72B,0,0
4,1,心停止+ECMO,tohoku,doctor,MedLLM-72B,1,1
5,1,心停止+ECMO,tohoku,doctor,MedLLM-72B,0,0
6,1,心停止+ECMO,tohoku,doctor,MedLLM-72B,0,0
7,1,心停止+ECMO,tohoku,doctor,MedLLM-72B,0,0
8,1,心停止+ECMO,tohoku,doctor,MedLLM-72B,1,0
9,1,心停止+ECMO,tohoku,doctor,MedLLM-72B,0,1
10,1,心停止+ECMO,tohoku,doctor,MedLLM-72B,0,0
11,1,心停止+ECMO,tohoku,doctor,MedLLM-72B,0,0
12,1,心停止+ECMO,tohoku,doctor,MedLLM-72B,0,0
13,1,心停止+ECMO,tohoku,doctor,MedLLM-72B,0,0
14,1,心停止+ECMO,tohoku,doctor,MedLLM-72B,0,0
15,1,心停止+ECMO,tohoku,doctor,MedLLM-72B,0,0
16,1,心停止+ECMO,tohoku,doctor,MedLLM-72B,0,0
17,1,心停止+ECMO,tohoku,doctor,MedLLM-72B,1,1
18,1,心停止+ECMO,tohoku,doctor,MedLLM-72B,0,0
19,1,心停止+ECMO,tohoku,doctor,MedLLM-72B,0,0
20,1,心停止+ECMO,tohoku,doctor,MedLLM-72B,0,1
21,1,心停止+ECMO,tohoku,doctor,MedLLM-72B,0,0
22,1,心停止+ECMO,tohoku,doctor,MedLLM-72B,0,1
23,1,心停止+ECMO,tohoku,doctor,MedLLM-72B,0,0
24,1,心停止+ECMO,tohoku,doctor,MedLLM-72B,0,1
25,1,心停止+ECMO,tohoku,doctor,MedLLM-72B,0,1
26,1,心停止+ECMO,tohoku,doctor,MedLLM-72B,0,1
27,1,心停止+ECMO,tohoku,doctor,MedLLM-72B,1,0
28,1,心停止+ECMO,tohoku,doctor,MedLLM-72B,1,0
29,1,心停止+ECMO,tohoku,doctor,MedLLM-72B,0,0
30,1,心停止+ECMO,tohoku,doctor,MedLLM-72B,0,1
1,1,心停止+ECMO,tohoku,doctor,ensembled,0,0
2,1,心停止+ECMO,tohoku,doctor,ensembled,0,0
3,1,心停止+ECMO,tohoku,doctor,ensembled,0,0
4,1,心停止+ECMO,tohoku,doctor,ensembled,1,0
5,1,心停止+ECMO,tohoku,doctor,ensembled,0,0
6,1,心停止+ECMO,tohoku,doctor,ensembled,0,0
7,1,心停止+ECMO,tohoku,doctor,ensembled,0,0
8,1,心停止+ECMO,tohoku,doctor,ensembled,1,1
9,1,心停止+ECMO,tohoku,doctor,ensembled,0,0
10,1,心停止+ECMO,tohoku,doctor,ensembled,0,0
11,1,心停止+ECMO,tohoku,doctor,ensembled,0,0
12,1,心停止+ECMO,tohoku,doctor,ensembled,0,0
13,1,心停止+ECMO,tohoku,doctor,ensembled,0,0
14,1,心停止+ECMO,tohoku,doctor,ensembled,0,0
15,1,心停止+ECMO,tohoku,doctor,ensembled,0,0
16,1,心停止+ECMO,tohoku,doctor,ensembled,0,0
17,1,心停止+ECMO,tohoku,doctor,ensembled,1,1
18,1,心停止+ECMO,tohoku,doctor,ensembled,0,0
19,1,心停止+ECMO,tohoku,doctor,ensembled,0,1
20,1,心停止+ECMO,tohoku,doctor,ensembled,0,1
21,1,心停止+ECMO,tohoku,doctor,ensembled,0,0
22,1,心停止+ECMO,tohoku,doctor,ensembled,0,0
23,1,心停止+ECMO,tohoku,doctor,ensembled,0,0
24,1,心停止+ECMO,tohoku,doctor,ensembled,0,1
25,1,心停止+ECMO,tohoku,doctor,ensembled,0,0
26,1,心停止+ECMO,tohoku,doctor,ensembled,0,1
27,1,心停止+ECMO,tohoku,doctor,ensembled,1,1
28,1,心停止+ECMO,tohoku,doctor,ensembled,1,1
29,1,心停止+ECMO,tohoku,doctor,ensembled,0,0
30,1,心停止+ECMO,tohoku,doctor,ensembled,0,0
1,2,心停止+低酸素性脳症,tohoku,doctor,keyword_search,0,0
2,2,心停止+低酸素性脳症,tohoku,doctor,keyword_search,0,1
3,2,心停止+低酸素性脳症,tohoku,doctor,keyword_search,0,0
4,2,心停止+低酸素性脳症,tohoku,doctor,keyword_search,0,1
5,2,心停止+低酸素性脳症,tohoku,doctor,keyword_search,0,1
6,2,心停止+低酸素性脳症,tohoku,doctor,keyword_search,0,0
7,2,心停止+低酸素性脳症,tohoku,doctor,keyword_search,0,1
8,2,心停止+低酸素性脳症,tohoku,doctor,keyword_search,0,1
9,2,心停止+低酸素性脳症,tohoku,doctor,keyword_search,0,0
10,2,心停止+低酸素性脳症,tohoku,doctor,keyword_search,0,0
11,2,心停止+低酸素性脳症,tohoku,doctor,keyword_search,0,0
12,2,心停止+低酸素性脳症,tohoku,doctor,keyword_search,0,0
13,2,心停止+低酸素性脳症,tohoku,doctor,keyword_search,0,0
14,2,心停止+低酸素性脳症,tohoku,doctor,keyword_search,0,1
15,2,心停止+低酸素性脳症,tohoku,doctor,keyword_search,0,0
16,2,心停止+低酸素性脳症,tohoku,doctor,keyword_search,0,0
17,2,心停止+低酸素性脳症,tohoku,doctor,keyword_search,0,1
18,2,心停止+低酸素性脳症,tohoku,doctor,keyword_search,0,1
19,2,心停止+低酸素性脳症,tohoku,doctor,keyword_search,0,1
20,2,心停止+低酸素性脳症,tohoku,doctor,keyword_search,0,1
21,2,心停止+低酸素性脳症,tohoku,doctor,keyword_search,0,0
22,2,心停止+低酸素性脳症,tohoku,doctor,keyword_search,0,0
23,2,心停止+低酸素性脳症,tohoku,doctor,keyword_search,0,1
24,2,心停止+低酸素性脳症,tohoku,doctor,keyword_search,1,0
25,2,心停止+低酸素性脳症,tohoku,doctor,keyword_search,0,1
26,2,心停止+低酸素性脳症,tohoku,doctor,keyword_search,0,0
27,2,心停止+低酸素性脳症,tohoku,doctor,keyword_search,0,1
28,2,心停止+低酸素性脳症,tohoku,doctor,keyword_search,0,1
29,2,心停止+低酸素性脳症,tohoku,doctor,keyword_search,0,0
30,2,心停止+低酸素性脳症,tohoku,doctor,keyword_search,0,1
1,2,心停止+低酸素性脳症,tohoku,doctor,semantic_search,0,1
2,2,心停止+低酸素性脳症,tohoku,doctor,semantic_search,0,0
3,2,心停止+低酸素性脳症,tohoku,doctor,semantic_search,0,0
4,2,心停止+低酸素性脳症,tohoku,doctor,semantic_search,0,1
5,2,心停止+低酸素性脳症,tohoku,doctor,semantic_search,0,0
6,2,心停止+低酸素性脳症,tohoku,doctor,semantic_search,0,0
7,2,心停止+低酸素性脳症,tohoku,doctor,semantic_search,0,0
8,2,心停止+低酸素性脳症,tohoku,doctor,semantic_search,0,0
9,2,心停止+低酸素性脳症,tohoku,doctor,semantic_search,0,1
10,2,心停止+低酸素性脳症,tohoku,doctor,semantic_search,0,1
11,2,心停止+低酸素性脳症,tohoku,doctor,semantic_search,0,0
12,2,心停止+低酸素性脳症,tohoku,doctor,semantic_search,0,1
13,2,心停止+低酸素性脳症,tohoku,doctor,semantic_search,0,1
14,2,心停止+低酸素性脳症,tohoku,doctor,semantic_search,0,0
15,2,心停止+低酸素性脳症,tohoku,doctor,semantic_search,0,1
16,2,心停止+低酸素性脳症,tohoku,doctor,semantic_search,0,0
17,2,心停止+低酸素性脳症,tohoku,doctor,semantic_search,0,1
18,2,心停止+低酸素性脳症,tohoku,doctor,semantic_search,0,1
19,2,心停止+低酸素性脳症,tohoku,doctor,semantic_search,0,1
20,2,心停止+低酸素性脳症,tohoku,doctor,semantic_search,0,0
21,2,心停止+低酸素性脳症,tohoku,doctor,semantic_search,0,1
22,2,心停止+低酸素性脳症,tohoku,doctor,semantic_search,0,0
23,2,心停止+低酸素性脳症,tohoku,doctor,semantic_search,0,0
24,2,心停止+低酸素性脳症,tohoku,doctor,semantic_search,1,1
25,2,心停止+低酸素性脳症,tohoku,doctor,semantic_search,0,1
26,2,心停止+低酸素性脳症,tohoku,doctor,semantic_search,0,0
27,2,心停止+低酸素性脳症,tohoku,doctor,semantic_search,0,1
28,2,心停止+低酸素性脳症,tohoku,doctor,semantic_search,0,1
29,2,心停止+低酸素性脳症,tohoku,doctor,semantic_search,0,0
30,2,心停止+低酸素性脳症,tohoku,doctor,semantic_search,0,0
1,2,心停止+低酸素性脳症,tohoku,doctor,bm25,0,0
2,2,心停止+低酸素性脳症,tohoku,doctor,bm25,0,1
3,2,心停止+低酸素性脳症,tohoku,doctor,bm25,0,1
4,2,心停止+低酸素性脳症,tohoku,doctor,bm25,0,0
5,2,心停止+低酸素性脳症,tohoku,doctor,bm25,0,1
6,2,心停止+低酸素性脳症,tohoku,doctor,bm25,0,0
7,2,心停止+低酸素性脳症,tohoku,doctor,bm25,0,1
8,2,心停止+低酸素性脳症,tohoku,doctor,bm25,0,1
9,2,心停止+低酸素性脳症,tohoku,doctor,bm25,0,1
10,2,心停止+低酸素性脳症,tohoku,doctor,bm25,0,1
11,2,心停止+低酸素性脳症,tohoku,doctor,bm25,0,1
12,2,心停止+低酸素性脳症,tohoku,doctor,bm25,0,0
13,2,心停止+低酸素性脳症,tohoku,doctor,bm25,0,0
14,2,心停止+低酸素性脳症,tohoku,doctor,bm25,0,0
15,2,心停止+低酸素性脳症,tohoku,doctor,bm25,0,0
16,2,心停止+低酸素性脳症,tohoku,doctor,bm25,0,1
17,2,心停止+低酸素性脳症,tohoku,doctor,bm25,0,1
18,2,心停止+低酸素性脳症,tohoku,doctor,bm25,0,1
19,2,心停止+低酸素性脳症,tohoku,doctor,bm25,0,0
20,2,心停止+低酸素性脳症,tohoku,doctor,bm25,0,1
21,2,心停止+低酸素性脳症,tohoku,doctor,bm25,0,0
22,2,心停止+低酸素性脳症,tohoku,doctor,bm25,0,0
23,2,心停止+低酸素性脳症,tohoku,doctor,bm25,0,1
24,2,心停止+低酸素性脳症,tohoku,doctor,bm25,1,0
25,2,心停止+低酸素性脳症,tohoku,doctor,bm25,0,1
26,2,心停止+低酸素性脳症,tohoku,doctor,bm25,0,0
27,2,心停止+低酸素性脳症,tohoku,doctor,bm25,0,1
28,2,心停止+低酸素性脳症,tohoku,doctor,bm25,0,0
29,2,心停止+低酸素性脳症,tohoku,doctor,bm25,0,1
30,2,心停止+低酸素性脳症,tohoku,doctor,bm25,0,1
1,2,心停止+低酸素性脳症,tohoku,doctor,GPT-OSS-20B,0,0
2,2,心停止+低酸素性脳症,tohoku,doctor,GPT-OSS-20B,0,0
3,2,心停止+低酸素性脳症,tohoku,doctor,GPT-OSS-20B,0,0
4,2,心停止+低酸素性脳症,tohoku,doctor,GPT-OSS-20B,0,1
5,2,心停止+低酸素性脳症,tohoku,doctor,GPT-OSS-20B,0,0
6,2,心停止+低酸素性脳症,tohoku,doctor,GPT-OSS-20B,0,1
7,2,心停止+低酸素性脳症,tohoku,doctor,GPT-OSS-20B,0,1
8,2,心停止+低酸素性脳症,tohoku,doctor,GPT-OSS-20B,0,0
9,2,心停止+低酸素性脳症,tohoku,doctor,GPT-OSS-20B,0,0
10,2,心停止+低酸素性脳症,tohoku,doctor,GPT-OSS-20B,0,1
